Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
93312,4.95544610079019E+017,,,,3.1023208298168E+017,9.28143879529213E+016,899329664499334,,,,,,
94080,,4.9348245218817E+017,,,,,,3.08813778175602E+017,9.21958341177641E+016,898806737925363,,,
95040,4.96475159145776E+017,,,,3.10405471275345E+017,9.2818123257394E+016,899330221900016,,,,,,
95760,,4.94376253710285E+017,,,,,,3.08979776746753E+017,9.21993448049605E+016,898807225494274,,,
96768,4.9738266766581E+017,,,,3.10573444432897E+017,9.282160890083E+016,899330669614396,,,,,,
97440,,4.95248655692004E+017,,,,,,3.09140787278106E+017,9.22026331528171E+016,898807619509554,,,
98496,4.98267981080504E+017,,,,3.10736292346393E+017,9.28248747383718E+016,899331029226739,,,,,,
99120,,4.96100418688348E+017,,,,,,3.09297068678112E+017,9.22057251298475E+016,898807937922066,,,
100224,4.99131906306981E+017,,,,3.10894287346961E+017,9.28279472285253E+016,899331318073922,,,,,,
100800,,4.96932269795532E+017,,,,,,3.09448864692197E+017,9.22086438293525E+016,898808195238299,,,
101952,4.99975214113768E+017,,,,3.11047685506389E+017,9.28308498238369E+016,899331550081240,,,,,,
102480,,4.97744904635346E+017,,,,,,3.09596404988355E+017,9.22114097909795E+016,898808403181269,,,
103680,5.00798641290505E+017,,,,3.11196727821277E+017,9.28336033154388E+016,899331736433743,,,,,,
104160,,4.98538989174073E+017,,,,,,3.09739906147991E+017,9.22140412853946E+016,898808571224609,,,
105408,5.01602892634909E+017,,,,3.11341641292009E+017,9.28362261371445E+016,899331886115467,,,,,,
105840,,4.99315161393965E+017,,,,,,3.09879572571625E+017,9.2216554566474E+016,898808707024169,,,
107136,5.02388642777172E+017,,,,3.11482639907377E+017,9.28387346340271E+016,899332006342554,,,,,,
107520,,5.00074032832948E+017,,,,,,3.10015597307931E+017,9.22189640948631E+016,898808816766813,,,
108864,5.0315653785927E+017,,,,3.11619925544472E+017,9.28411432997837E+016,899332102911140,,,,,,
