Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
5376,5.440691482788247e+17,3.200398096722363e+17,9.249877359334606e+16,898809278964578.6,0,0
5404,5.442712229168924e+17,3.201118461768766e+17,9.250132937186925e+16,898809278964578.6,0,0
5432,5.4447260533562445e+17,3.2018394378494854e+17,9.250388872076835e+16,898809278964578.6,0,0
5460,5.446733059030028e+17,3.2025610204254406e+17,9.250645158613134e+16,898809278964578.6,0,0
5488,5.4487333473673504e+17,3.2032832047562214e+17,9.250901791450384e+16,898809278964578.6,0,0
5516,5.4507270171130746e+17,3.2040059859105344e+17,9.251158765288536e+16,898809278964578.6,0,0
5544,5.4527141646481824e+17,3.2047293587762144e+17,9.251416074872576e+16,898809278964578.6,0,0
5572,5.454694884055984e+17,3.205453318069839e+17,9.251673714992166e+16,898809278964578.6,0,0
5600,5.4566692671863e+17,3.2061778583459603e+17,9.25193168048128e+16,898809278964578.6,0,0
5628,5.458637403717632e+17,3.206902974005955e+17,9.252189966217861e+16,898809278964578.6,0,0
5656,5.46059938121746e+17,3.207628659306518e+17,9.252448567123454e+16,898809278964578.6,0,0
5684,5.4625552852006336e+17,3.208354908367818e+17,9.25270747816288e+16,898809278964578.6,0,0
5712,5.464505199186029e+17,3.209081715181326e+17,9.25296669434386e+16,898809278964578.6,0,0
5740,5.4664492047514144e+17,3.209809073617319e+17,9.253226210716698e+16,898809278964578.6,0,0
5768,5.468387381586695e+17,3.2105369774320755e+17,9.253486022373925e+16,898809278964578.6,0,0
5796,5.470319807545484e+17,3.211265420274806e+17,9.253746124449958e+16,898809278964578.6,0,0
5824,5.47224655869516e+17,3.2119943956942624e+17,9.254006512120779e+16,898809278964578.6,0,0
5852,5.474167709365339e+17,3.212723897145121e+17,9.25426718060358e+16,898809278964578.6,0,0
5880,5.476083332194935e+17,3.2134539179940685e+17,9.254528125156448e+16,898809278964578.6,0,0
5908,5.4779934981777837e+17,3.214184451525668e+17,9.254789341078027e+16,898809278964578.6,0,0
5936,5.479898276706866e+17,3.214915490947975e+17,9.2550508237072e+16,898809278964578.6,0,0
5964,5.48179773561723e+17,3.215647029397919e+17,9.255312568422758e+16,898809278964578.6,0,0
5992,5.483691941227623e+17,3.216379059946477e+17,9.255574570643078e+16,898809278964578.6,0,0
6020,5.485580958380861e+17,3.2171115756036275e+17,9.25583682582581e+16,898809278964578.6,0,0
6048,5.487464850482996e+17,3.2178445693231e+17,9.256099329467562e+16,898809278964578.6,0,0
6076,5.48934367954133e+17,3.218578034006942e+17,9.25636207710357e+16,898809278964578.6,0,0
6104,5.4912175062012954e+17,3.2193119625098714e+17,9.256625064307411e+16,898809278964578.6,0,0
6132,5.493086389782218e+17,3.2200463476434854e+17,9.256888286690677e+16,898809278964578.6,0,0
6160,5.494950388312062e+17,3.2207811821802605e+17,9.257151739902669e+16,898809278964578.6,0,0
6188,5.49680955856111e+17,3.221516458857419e+17,9.257415419630107e+16,898809278964578.6,0,0
6216,5.4986639560746835e+17,3.222252170380598e+17,9.257679321596806e+16,898809278964578.6,0,0
6244,5.5005136352048877e+17,3.222988309427405e+17,9.257943441563395e+16,898809278964578.6,0,0
6272,5.502358649141409e+17,3.223724868650795e+17,9.258207775327018e+16,898809278964578.6,0,0
6300,5.5041990499414656e+17,3.22446184068232e+17,9.25847231872103e+16,898809278964578.6,0,0
6328,5.506034888558825e+17,3.225199218135237e+17,9.25873706761471e+16,898809278964578.6,0,0
6356,5.5078662148720134e+17,3.22593699360749e+17,9.259002017912974e+16,898809278964578.6,0,0
6384,5.5096930777117005e+17,3.226675159684559e+17,9.259267165556083e+16,898809278964578.6,0,0
6412,5.511515524887294e+17,3.22741370894219e+17,9.25953250651936e+16,898809278964578.6,0,0
6440,5.5133336032127514e+17,3.2281526339490195e+17,9.259798036812904e+16,898809278964578.6,0,0
6468,5.515147358531688e+17,3.228891927269059e+17,9.260063752481314e+16,898809278964578.6,0,0
6496,5.516956835741712e+17,3.229631581464113e+17,9.260329649603402e+16,898809278964578.6,0,0
6524,5.5187620788181165e+17,3.2303715890960454e+17,9.260595724291931e+16,898809278964578.6,0,0
6552,5.52056313083685e+17,3.231111942728996e+17,9.260861972693328e+16,898809278964578.6,0,0
6580,5.522360033996871e+17,3.2318526349314554e+17,9.261128390987413e+16,898809278964578.6,0,0
6608,5.5241528296418445e+17,3.232593658278283e+17,9.261394975387136e+16,898809278964578.6,0,0
6636,5.525941558281243e+17,3.233335005352621e+17,9.261661722138306e+16,898809278964578.6,0,0
6664,5.5277262596108275e+17,3.2340766687477184e+17,9.261928627519323e+16,898809278964578.6,0,0
6692,5.5295069725325856e+17,3.234818641068685e+17,9.262195687840917e+16,898809278964578.6,0,0
6720,5.5312837351740845e+17,3.235560914934167e+17,9.26246289944589e+16,898809278964578.6,0,0
6748,5.533056584907295e+17,3.23630348297793e+17,9.262730258708846e+16,898809278964578.6,0,0
6776,5.534825558366887e+17,3.23704633785039e+17,9.262997762035952e+16,898809278964578.6,0,0
6804,5.536590691468022e+17,3.237789472220062e+17,9.26326540586466e+16,898809278964578.6,0,0
6832,5.538352019423646e+17,3.238532878774951e+17,9.263533186663475e+16,898809278964578.6,0,0
6860,5.54010957676131e+17,3.2392765502238624e+17,9.263801100931691e+16,898809278964578.6,0,0
6888,5.54186339733953e+17,3.2400204792976704e+17,9.264069145199149e+16,898809278964578.6,0,0
